epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.69088,4.46594,6.54643,3.80155,0,0,0,0,3.41327,4.58103,2.99301,0.07624,0.00024,0.00024
2,12.7913,3.66383,4.41085,2.42106,0,0,0,0,3.74268,4.98699,2.32145,0.0514899,0.000489879,0.000489879
3,19.1785,2.8298,3.26888,1.85382,0,0,0,0,3.6177,5.76689,2.27982,0.0267393,0.000739271,0.000739271
4,25.271,2.29695,2.46126,1.55907,1,0.05382,0.5269,0.36014,2.87152,5.24966,1.87619,0.00198781,0.000987805,0.000987805
5,31.2928,1.97501,1.97912,1.38053,0.1522,0.55438,0.44571,0.26099,2.27164,3.4701,1.5807,0.000996061,0.000996061,0.000996061
6,37.3166,1.64093,1.57944,1.2412,0.78886,0.56753,0.70523,0.45688,1.55955,1.63524,1.27256,0.00099385,0.00099385,0.00099385
7,43.3807,1.48821,1.39339,1.18474,0.88385,0.65033,0.76508,0.49702,1.43245,1.29827,1.22501,0.000991152,0.000991152,0.000991152
8,49.5043,1.31629,1.16637,1.10095,0.81793,0.65213,0.75473,0.50065,1.3231,1.40913,1.19658,0.00098797,0.00098797,0.00098797
9,55.5112,1.24956,1.07326,1.06043,0.94271,0.72874,0.85211,0.557,1.17541,1.03136,1.09837,0.000984307,0.000984307,0.000984307
10,61.587,1.16569,0.98236,1.03625,0.88534,0.70343,0.82499,0.5368,1.27572,1.08791,1.15719,0.000980167,0.000980167,0.000980167
11,67.4985,1.10421,0.89258,1.02463,0.93814,0.779,0.85918,0.58455,1.22313,1.05534,1.08605,0.000975553,0.000975553,0.000975553
12,73.541,1.07162,0.86889,0.99942,0.77452,0.78611,0.83796,0.59046,1.12722,1.00977,1.07814,0.00097047,0.00097047,0.00097047
13,79.5245,1.02962,0.81649,0.98488,0.93212,0.63207,0.79547,0.56571,1.00651,0.99785,1.02604,0.000964923,0.000964923,0.000964923
14,85.4633,1.0314,0.79349,0.9861,0.97548,0.79883,0.88912,0.64012,1.04438,0.76786,1.03114,0.000958918,0.000958918,0.000958918
15,91.4585,1.00538,0.75909,0.95873,0.91801,0.82064,0.8536,0.5957,1.07775,0.78868,1.02819,0.000952461,0.000952461,0.000952461
16,97.3935,0.93749,0.69661,0.94656,0.92098,0.85483,0.89984,0.6272,1.09661,0.71504,1.03595,0.000945558,0.000945558,0.000945558
17,103.256,0.93761,0.6991,0.95439,0.93318,0.85332,0.90241,0.63966,0.97097,0.68505,0.9936,0.000938215,0.000938215,0.000938215
18,109.299,0.91087,0.68708,0.92846,0.9757,0.80176,0.89523,0.65914,1.00279,0.74344,0.99621,0.000930441,0.000930441,0.000930441
19,115.29,0.87771,0.6642,0.92338,0.92134,0.8159,0.87934,0.6585,0.9492,0.71283,0.99322,0.000922242,0.000922242,0.000922242
20,121.221,0.89211,0.64732,0.9187,0.95049,0.86656,0.91957,0.64974,1.00381,0.67944,0.99244,0.000913627,0.000913627,0.000913627
21,127.069,0.87153,0.62302,0.92163,0.97026,0.83674,0.89902,0.63648,0.99643,0.65554,0.99649,0.000904604,0.000904604,0.000904604
22,133.047,0.84046,0.60126,0.91228,0.95218,0.86156,0.91216,0.62657,0.98989,0.6499,0.99017,0.000895182,0.000895182,0.000895182
23,138.954,0.86993,0.6108,0.92115,0.94034,0.86338,0.92184,0.66374,0.92804,0.6555,0.97982,0.000885371,0.000885371,0.000885371
24,145.025,0.82325,0.57857,0.9021,0.96632,0.87968,0.91801,0.6526,1.01747,0.65373,0.98347,0.00087518,0.00087518,0.00087518
25,150.9,0.7611,0.54128,0.89028,0.96665,0.88059,0.93999,0.65755,1.01449,0.61979,0.9862,0.00086462,0.00086462,0.00086462
26,156.845,0.75011,0.53249,0.88314,0.97873,0.87172,0.91859,0.66746,1.00283,0.60548,1.00018,0.0008537,0.0008537,0.0008537
27,162.82,0.77268,0.55264,0.89574,0.97056,0.86446,0.92551,0.67472,0.99284,0.57624,1.00079,0.000842431,0.000842431,0.000842431
28,168.879,0.7784,0.53042,0.88968,0.97439,0.8793,0.91776,0.66716,0.96778,0.65576,0.97953,0.000830825,0.000830825,0.000830825
29,174.767,0.75365,0.51587,0.89108,0.98184,0.83144,0.94179,0.69343,0.90965,0.58178,0.96766,0.000818893,0.000818893,0.000818893
30,180.8,0.7294,0.50559,0.87578,0.95892,0.8618,0.91482,0.65833,0.91149,0.59357,0.95465,0.000806647,0.000806647,0.000806647
31,186.693,0.73574,0.51329,0.88601,0.97256,0.89617,0.9515,0.69602,0.87026,0.5394,0.94292,0.000794099,0.000794099,0.000794099
32,192.748,0.72688,0.49848,0.88564,0.98664,0.87939,0.93253,0.72423,0.80832,0.53093,0.92973,0.000781261,0.000781261,0.000781261
33,198.768,0.69617,0.48924,0.87437,0.97565,0.86493,0.9334,0.6848,0.9234,0.60597,0.95562,0.000768145,0.000768145,0.000768145
34,204.743,0.68384,0.47351,0.86857,0.98306,0.88465,0.93778,0.68494,0.94433,0.5447,0.96338,0.000754766,0.000754766,0.000754766
35,210.605,0.67123,0.45827,0.86859,0.96814,0.86679,0.94659,0.68498,0.91448,0.51608,0.9447,0.000741136,0.000741136,0.000741136
36,216.54,0.65902,0.45731,0.86047,0.96385,0.88211,0.94299,0.70772,0.83871,0.54286,0.94028,0.000727268,0.000727268,0.000727268
37,222.396,0.65533,0.44149,0.86152,0.98928,0.89164,0.94614,0.69693,0.86443,0.54868,0.93353,0.000713177,0.000713177,0.000713177
38,228.329,0.62585,0.43609,0.86373,0.97842,0.86133,0.94295,0.72034,0.844,0.51516,0.93755,0.000698875,0.000698875,0.000698875
39,234.22,0.64416,0.44427,0.86286,0.97045,0.88324,0.93793,0.71377,0.78417,0.48798,0.92035,0.000684378,0.000684378,0.000684378
40,240.2,0.64955,0.44129,0.85875,0.98915,0.87101,0.92896,0.69753,0.83833,0.52475,0.93139,0.0006697,0.0006697,0.0006697
41,246.072,0.60391,0.41306,0.84897,0.96889,0.88475,0.94293,0.69799,0.85369,0.51271,0.93068,0.000654854,0.000654854,0.000654854
42,252.034,0.62458,0.43473,0.85196,0.97993,0.8878,0.93407,0.71671,0.87734,0.5042,0.96076,0.000639856,0.000639856,0.000639856
43,257.935,0.61929,0.42038,0.85391,0.98461,0.88696,0.9282,0.71399,0.79686,0.50607,0.92777,0.000624721,0.000624721,0.000624721
44,263.895,0.59811,0.41805,0.85437,0.99296,0.88355,0.94475,0.66443,0.9533,0.50588,0.95094,0.000609463,0.000609463,0.000609463
